"site.id.c","visit.no","idnew","sample.type","doc.result","therm.sav","chl","st.nla2012","us.l3code","domean","tempmean","tbot","do.hyp.fail","do.hyp.pass","yday.x","st.nla2012.1","year","tmax","index.lat.dd","index.lon.dd","index.site.depth","elevation","area.ha","tmean.pt","tmin.pt","biov.cyano","mc","biov.tot","prop.cyano","zbiomass","zdensity","ntl.result","no3no2.result","doc.result.1","ptl.result","turb.result"
"NLA06608-0001",1,NA,"MICX",0.63,6.5,0.24,"MT",41,10.9,10.45,10.2,0,2,211,"MT","07",16.3,48.97902855,-114.0218399,8.3,1605.73,66.2930555,0.1,NA,NA,NA,NA,NA,NA,NA,151,120,0.63,6,0.474
"NLA06608-0002",1,NA,"MICX",14.02,NA,3.84,"SC",63,NA,NA,NA,NA,NA,164,"SC","07",NA,33.03593202,-79.98272527,2.2,4.9,14.572470612,18.348649905,12.46,NA,NA,NA,NA,NA,NA,695,5,14.02,36,3.55
"NLA06608-0002",1,"NLA12_SC-102--1--X","MICX",14.09,1.25,36.24,"SC",63,0.466666666666667,21.1,20.2,3,0,226,"SC","12",24.9,33.03593202,-79.98272527,2.2,4.9,14.572470612,18.348649905,12.46,80168.5298,NA,24954696.2686,0.00321256283535194,37.6508,111.19465,779,3,14.09,44,1.47
"NLA06608-0002",1,"NLA12_SC-102--1--L","MICL",14.09,1.25,17.09,"SC",63,0.466666666666667,21.1,20.2,3,0,226,"SC","12",24.9,33.03593202,-79.98272527,2.2,4.9,14.572470612,18.348649905,12.46,5987.4275,NA,678778.5045,0.0088208855470614,37.6508,111.19465,779,3,14.09,44,1.47
"NLA06608-0002",2,NA,"MICX",13.69,NA,20.88,"SC",63,NA,NA,NA,NA,NA,203,"SC","07",NA,33.03593202,-79.98272527,2.2,4.9,14.572470612,18.348649905,12.46,NA,NA,NA,NA,NA,NA,469,5,13.69,22,3.87
"NLA06608-0003",1,NA,"MICX",6,NA,16.96,"TX",34,NA,NA,29.4,0,3,240,"TX","07",29.9,28.04774206,-97.85986605,2.45,17.6,5.701736559,21.8,NA,NA,NA,NA,NA,NA,NA,738,5,6,43,7.67
"NLA06608-0003",2,NA,"MICX",5.87,NA,12.864,"TX",34,NA,NA,29,NA,NA,248,"TX","07",29.9,28.04774206,-97.85986605,2.45,17.6,5.701736559,21.8,NA,NA,NA,NA,NA,NA,NA,843,5,5.87,50,9.53
"NLA06608-0004",1,NA,"MICX",8,5.35,4.6,"CO",21,2.2,19,19,1,0,190,"CO","07",20.6,37.417025065,-108.4057466,5.275,2213,65.386204805,7.481694945,-0.11,NA,NA,NA,NA,NA,NA,344,5,8,18,3.81
"NLA06608-0004",1,"NLA12_CO-105--1--X","MICX",9.66,NA,101.3,"CO",21,NA,NA,19.6,2,2,242,"CO","12",20.5333333333333,37.417025065,-108.4057466,5.275,2213,65.386204805,7.481694945,-0.11,12377985.9861,NA,13495245.0824,0.91721090728785,629.8224,1650.4615,1079,2,9.66,114,34.47
"NLA06608-0004",1,"NLA12_CO-105--1--L","MICL",9.66,NA,102.67,"CO",21,NA,NA,19.6,2,2,242,"CO","12",20.5333333333333,37.417025065,-108.4057466,5.275,2213,65.386204805,7.481694945,-0.11,17937719.486,0.10775,18301009.2079,0.980149197359937,629.8224,1650.4615,1079,2,9.66,114,34.47
